 37.065000  253.051670  2221.10 979220.342 746 9999
 37.057170  252.963330  2129.00 979239.468 746 9999
 37.031670  253.181670  2261.30 979223.899 746 9999
 37.027670  252.621670  1854.50 979277.061 746 9999
 37.027670  252.783330  1896.90 979277.049 5908 9999
 37.027670  253.231670  2316.80 979208.156 746 9999
 37.022170  252.841670  1928.80 979276.759 746 9999
 37.022170  253.283330  2392.10 979189.149 5908 9999
 37.021330  252.658330  1857.20 979276.801 746 9999
 37.020500  253.125000  2218.90 979233.246 746 9999
 37.016500  252.596670  1830.40 979282.165 746 9999
 37.015830  253.078330  2156.20 979237.005 746 9999
 37.015000  252.691670  1868.90 979276.770 746 9999
 37.009330  253.193330  2294.20 979213.683 746 9999
 37.008670  251.670000  2017.80 979283.655 746 9999
 37.005500  252.726670  1883.10 979277.012 746 9999
 36.999000  257.000000  1345.40 979484.352 746 9999
 36.998330  251.810000  1831.20 979321.162 746 9999
 36.998330  251.893330  1839.20 979310.708 746 9999
 36.998330  252.133330  1820.30 979296.054 746 9999
 36.998330  253.091670  2152.20 979236.517 746 9999
 36.995170  251.246670  1561.00 979407.810 746 9999
 36.995170  252.350000  2142.40 979221.352 746 9999
 36.992830  253.333330  2564.60 979148.716 746 9999
 36.992830  257.483330  1246.70 979511.269 746 9999
 36.992830  257.736670  1133.20 979545.708 746 9999
 36.991170  253.219500  2377.70 979188.949 746 9999
 36.991170  257.163330  1292.70 979494.555 746 9999
 36.991170  257.936670  1125.60 979547.698 746 9999
 36.991170  257.971670  1129.30 979547.752 746 9999
 36.988670  257.328330  1304.50 979493.731 746 9999
 36.985670  251.076670  1497.80 979417.267 746 9999
 36.985670  252.793330  2085.70 979237.745 746 9999
 36.980000  251.398330  1798.30 979344.539 746 9999
 36.979170  257.026670  1322.20 979487.638 746 9999
 36.977670  252.571670  1835.20 979282.553 746 9999
 36.977670  257.376670  1292.70 979499.182 746 9999
 36.976000  251.931670  1884.00 979299.194 746 9999
 36.975330  251.975000  1997.40 979273.675 746 9999
 36.975330  252.121670  1825.80 979296.609 746 9999
 36.975330  257.233330  1282.00 979497.966 746 9999
 36.969670  252.071670  1852.60 979294.442 746 9999
 36.968170  253.076670  2150.10 979228.430 746 9999
 36.964830  251.800000  1792.50 979324.821 746 9999
 36.963330  251.691670  1856.80 979316.690 746 9999
 36.963330  257.846670  1150.90 979532.997 746 9999
 36.963330  257.971670  1143.90 979544.006 746 9999
 36.962500  251.671670  1869.00 979315.991 746 9999
 36.960830  251.343330  1841.00 979337.487 746 9999
 36.960830  252.331670  2034.80 979243.104 746 9999
 36.960170  251.876670  1820.30 979312.511 746 9999
 36.960170  252.833330  2108.00 979231.607 746 9999
 36.960170  253.360000  2495.70 979158.026 746 9999
 36.959330  251.128330  1571.20 979391.793 746 9999
 36.959330  252.548330  1827.60 979285.314 746 9999
 36.957830  257.750000  1127.80 979541.353 746 9999
 36.957000  251.176670  1585.00 979394.512 746 9999
 36.955330  257.650000  1154.90 979534.144 746 9999
 36.954500  251.258330  1628.10 979389.401 746 9999
 36.954500  257.483330  1202.70 979518.939 746 9999
 36.953670  257.283330  1258.20 979503.107 746 9999
 36.951670  252.966670  2038.40 979243.101 746 9999
 36.949830  251.711670  1857.80 979315.130 746 9999
 36.949830  257.583330  1175.30 979527.828 746 9999
 36.949830  257.800000  1193.30 979525.189 746 9999
 36.948170  251.311670  1653.80 979382.039 746 9999
 36.947330  257.180000  1286.00 979495.325 746 9999
 36.947330  257.378330  1235.50 979506.958 746 9999
 36.945000  253.210500  2356.10 979188.305 746 9999
 36.944170  251.658330  2027.50 979271.566 746 9999
 36.939500  251.750000  1870.60 979309.189 746 9999
 36.939500  252.113330  1791.60 979307.152 746 9999
 36.937830  257.441670  1194.50 979517.086 746 9999
 36.935500  257.541670  1173.50 979524.339 746 9999
 36.934670  251.228330  1612.10 979389.000 746 9999
 36.934670  257.043330  1312.80 979483.496 746 9999
 36.934670  257.736670  1161.00 979531.726 746 9999
 36.934670  257.938330  1157.60 979535.716 746 9999
 36.932330  251.946670  1928.50 979288.681 746 9999
 36.931500  251.128330  1531.00 979396.835 746 9999
 36.931500  252.755000  2211.90 979206.695 746 9999
 36.931500  252.848330  2215.60 979205.882 746 9999
 36.931500  253.000000  2063.80 979236.202 746 9999
 36.931500  253.066670  2086.20 979232.731 746 9999
 36.931500  253.400000  2442.70 979165.235 746 9999
 36.927500  252.541670  1825.40 979286.768 746 9999
 36.926670  251.266670  1580.10 979397.793 746 9999
 36.926670  251.800000  1762.80 979326.368 746 9999
 36.926670  252.316670  2012.00 979245.296 746 9999
 36.926670  252.795000  2072.30 979236.867 746 9999
 36.924330  253.441170  2446.90 979166.683 746 9999
 36.923500  251.171670  1555.70 979396.575 746 9999
 36.921170  251.860000  1802.00 979315.176 746 9999
 36.921170  257.865000  1140.90 979533.321 746 9999
 36.919500  257.973330  1149.10 979539.841 746 9999
 36.918000  257.485000  1184.50 979519.281 746 9999
 36.914000  251.333330  1621.80 979387.140 746 9999
 36.912330  251.386670  1604.20 979383.820 746 9999
 36.906830  251.913330  1873.90 979297.132 746 9999
 36.906830  252.093330  1766.30 979314.102 746 9999
 36.906830  253.036670  2128.70 979219.308 746 9999
 36.903670  257.065000  1358.20 979469.433 746 9999
 36.903670  257.280000  1268.60 979495.608 746 9999
 36.901170  251.276670  1570.50 979398.236 746 9999
 36.901170  251.691670  1775.80 979324.697 746 9999
 36.901170  257.001670  1326.90 979476.427 746 9999
 36.898830  257.181670  1289.80 979488.422 746 9999
 36.898000  251.225000  1545.30 979401.613 746 9999
 36.898000  257.128330  1334.70 979476.492 746 9999
 36.896500  251.801670  1747.70 979326.356 746 9999
 36.896500  253.150000  2230.60 979192.223 746 9999
 36.894000  252.560000  1897.10 979273.918 746 9999
 36.894000  257.711670  1180.80 979526.999 746 9999
 36.892500  253.416670  2383.40 979169.496 746 9999
 36.892500  257.758330  1208.50 979519.333 746 9999
 36.892500  257.811670  1191.20 979524.050 746 9999
 36.892500  257.866670  1170.40 979529.053 746 9999
 36.892500  257.920000  1147.60 979533.846 746 9999
 36.890830  252.858330  2160.40 979212.033 746 9999
 36.888500  252.315000  1995.80 979247.209 746 9999
 36.887000  250.996670  1570.00 979387.502 746 9999
 36.885330  251.655000  1706.00 979340.291 746 9999
 36.885330  253.271670  2335.10 979177.008 746 9999
 36.885330  253.371670  2373.50 979171.757 746 9999
 36.883670  251.955000  1826.70 979304.391 746 9999
 36.882830  251.885000  1840.70 979302.679 746 9999
 36.882170  251.608330  1687.40 979345.764 746 9999
 36.882170  253.416170  2375.30 979170.054 746 9999
 36.878170  251.126670  1479.20 979408.540 746 9999
 36.878170  253.325000  2334.20 979178.215 746 9999
 36.878170  253.433170  2424.40 979160.524 746 9999
 36.878170  257.325000  1278.60 979491.958 746 9999
 36.875670  257.613330  1214.30 979517.986 746 9999
 36.875000  251.076670  1470.40 979404.629 746 9999
 36.873330  252.216670  1878.50 979278.944 746 9999
 36.873330  253.070000  2227.50 979192.569 746 9999
 36.873330  257.541670  1196.30 979519.075 746 9999
 36.871000  252.110000  1831.50 979298.092 746 9999
 36.871000  252.151670  1903.00 979279.199 746 9999
 36.870170  252.915170  2343.00 979170.729 746 9999
 36.870170  257.371670  1241.80 979500.465 746 9999
 36.869500  251.176670  1480.10 979412.980 746 9999
 36.869500  251.286670  1543.90 979400.083 746 9999
 36.869500  251.383330  1584.70 979390.856 746 9999
 36.867830  251.430000  1647.10 979369.624 746 9999
 36.867830  257.488330  1214.30 979510.676 746 9999
 36.863830  257.271670  1301.20 979484.841 746 9999
 36.863000  251.043330  1558.10 979380.603 746 9999
 36.863000  257.061670  1327.70 979472.787 746 9999
 36.863000  257.198330  1313.10 979479.886 746 9999
 36.862170  252.573330  1952.90 979259.626 746 9999
 36.860670  252.266670  1816.90 979290.431 746 9999
 36.859830  251.783330  1692.60 979336.865 746 9999
 36.858170  251.975000  1767.50 979313.880 746 9999
 36.858170  252.996670  2155.50 979207.734 746 9999
 36.857500  251.493330  1684.00 979355.611 746 9999
 36.854330  251.860000  1795.00 979310.331 746 9999
 36.852670  251.213330  1471.60 979414.248 746 9999
 36.851170  251.590000  1670.90 979348.628 746 9999
